order_date,product_name,category,quantity,unit_price,total_amount,customer_city
2024-05-10,USB Hub,Electronics,9,35,315,Mumbai
2025-02-07,USB Hub,Electronics,10,35,350,Mumbai
2024-03-26,Printer Ink,Stationery,3,45,135,Ahmedabad
2024-07-05,Laptop Pro,Electronics,5,899,4495,Kolkata
2024-12-01,Standing Desk,Furniture,8,599,4792,Pune
2024-12-11,Printer Ink,Stationery,5,45,225,Kolkata
2024-09-15,Wireless Mouse,Electronics,8,29,232,Mumbai
2025-07-06,Laptop Pro,Electronics,6,899,5394,Chennai
2025-10-27,Wireless Mouse,Electronics,1,29,29,Mumbai
2024-09-10,Standing Desk,Furniture,1,599,599,Bangalore
2024-09-01,Office Chair,Furniture,8,349,2792,Delhi
2025-07-31,Standing Desk,Furniture,8,599,4792,Hyderabad
2025-01-12,Office Chair,Furniture,10,349,3490,Delhi
2024-06-16,LED Monitor,Electronics,2,449,898,Mumbai
2024-11-15,USB Hub,Electronics,7,35,245,Kolkata
2024-07-22,Wireless Mouse,Electronics,10,29,290,Chennai
2024-04-14,LED Monitor,Electronics,10,449,4490,Delhi
2025-08-02,Laptop Pro,Electronics,6,899,5394,Kolkata
2025-11-08,Notebook Pack,Stationery,2,12,24,Pune
2024-01-13,Printer Ink,Stationery,8,45,360,Delhi
2025-03-19,Notebook Pack,Stationery,8,12,96,Bangalore
2025-03-21,Office Chair,Furniture,9,349,3141,Hyderabad
2025-09-22,Desk Lamp,Furniture,8,65,520,Ahmedabad
2025-03-22,USB Hub,Electronics,5,35,175,Pune
2024-09-08,Wireless Mouse,Electronics,5,29,145,Ahmedabad
2024-09-06,Webcam HD,Electronics,10,79,790,Kolkata
2024-12-10,Laptop Pro,Electronics,8,899,7192,Pune
2024-07-05,Webcam HD,Electronics,4,79,316,Pune
2024-09-21,Notebook Pack,Stationery,5,12,60,Hyderabad
2025-07-23,Laptop Pro,Electronics,9,899,8091,Chennai
2024-03-28,Standing Desk,Furniture,7,599,4193,Ahmedabad
2025-07-22,Standing Desk,Furniture,8,599,4792,Ahmedabad
2025-04-03,Laptop Pro,Electronics,2,899,1798,Hyderabad
2024-08-14,Printer Ink,Stationery,4,45,180,Hyderabad
2025-11-10,USB Hub,Electronics,6,35,210,Ahmedabad
2025-07-20,Desk Lamp,Furniture,6,65,390,Kolkata
2025-07-17,Notebook Pack,Stationery,6,12,72,Ahmedabad
2024-10-04,LED Monitor,Electronics,5,449,2245,Chennai
2024-05-03,Standing Desk,Furniture,6,599,3594,Delhi
2025-07-02,Office Chair,Furniture,4,349,1396,Chennai
2025-05-10,LED Monitor,Electronics,10,449,4490,Hyderabad
2024-04-12,Standing Desk,Furniture,5,599,2995,Chennai
2025-01-04,Office Chair,Furniture,5,349,1745,Mumbai
2025-12-26,Desk Lamp,Furniture,3,65,195,Hyderabad
2024-02-16,Laptop Pro,Electronics,9,899,8091,Hyderabad
2025-12-15,Office Chair,Furniture,8,349,2792,Delhi
2024-01-13,USB Hub,Electronics,5,35,175,Ahmedabad
2025-05-05,Webcam HD,Electronics,6,79,474,Bangalore
2024-02-22,LED Monitor,Electronics,8,449,3592,Delhi
2024-03-07,Printer Ink,Stationery,8,45,360,Delhi
2025-08-13,Laptop Pro,Electronics,3,899,2697,Bangalore
2025-07-30,LED Monitor,Electronics,2,449,898,Chennai
2024-05-01,Desk Lamp,Furniture,7,65,455,Chennai
2025-06-19,Printer Ink,Stationery,8,45,360,Ahmedabad
2024-10-31,USB Hub,Electronics,7,35,245,Hyderabad
2025-08-05,USB Hub,Electronics,1,35,35,Delhi
2024-07-31,Standing Desk,Furniture,5,599,2995,Delhi
2024-06-09,Standing Desk,Furniture,3,599,1797,Delhi
2024-06-09,Laptop Pro,Electronics,7,899,6293,Ahmedabad
2025-12-06,USB Hub,Electronics,8,35,280,Hyderabad
2024-02-03,Standing Desk,Furniture,5,599,2995,Hyderabad
2025-12-20,Webcam HD,Electronics,2,79,158,Chennai
2024-09-27,USB Hub,Electronics,4,35,140,Kolkata
2024-04-27,Desk Lamp,Furniture,4,65,260,Bangalore
2024-09-29,Office Chair,Furniture,2,349,698,Mumbai
2024-06-18,LED Monitor,Electronics,10,449,4490,Hyderabad
2025-03-25,Wireless Mouse,Electronics,8,29,232,Hyderabad
2025-12-17,Printer Ink,Stationery,5,45,225,Ahmedabad
2025-03-24,Wireless Mouse,Electronics,10,29,290,Mumbai
2025-03-18,Notebook Pack,Stationery,10,12,120,Hyderabad
2024-01-27,Wireless Mouse,Electronics,4,29,116,Mumbai
2025-11-19,LED Monitor,Electronics,10,449,4490,Mumbai
2024-06-28,Webcam HD,Electronics,9,79,711,Ahmedabad
2024-10-11,Office Chair,Furniture,10,349,3490,Kolkata
2025-10-12,Webcam HD,Electronics,2,79,158,Ahmedabad
2024-12-22,Printer Ink,Stationery,6,45,270,Pune
2025-11-17,Wireless Mouse,Electronics,3,29,87,Pune
2025-02-25,Webcam HD,Electronics,5,79,395,Kolkata
2025-07-17,Laptop Pro,Electronics,8,899,7192,Delhi
2024-11-18,LED Monitor,Electronics,6,449,2694,Delhi
2025-02-17,Desk Lamp,Furniture,1,65,65,Ahmedabad
2025-02-27,Laptop Pro,Electronics,4,899,3596,Pune
2025-09-29,Webcam HD,Electronics,8,79,632,Mumbai
2024-07-27,LED Monitor,Electronics,9,449,4041,Bangalore
2024-10-21,Webcam HD,Electronics,8,79,632,Delhi
2024-01-30,USB Hub,Electronics,4,35,140,Bangalore
2024-11-14,Desk Lamp,Furniture,1,65,65,Kolkata
2024-04-05,Standing Desk,Furniture,2,599,1198,Ahmedabad
2024-04-30,Office Chair,Furniture,8,349,2792,Hyderabad
2025-06-05,LED Monitor,Electronics,7,449,3143,Ahmedabad
2025-04-28,Standing Desk,Furniture,8,599,4792,Bangalore
2025-01-27,Standing Desk,Furniture,10,599,5990,Bangalore
2024-03-12,LED Monitor,Electronics,7,449,3143,Pune
2025-06-03,LED Monitor,Electronics,1,449,449,Hyderabad
2024-11-01,USB Hub,Electronics,10,35,350,Ahmedabad
2024-06-01,Webcam HD,Electronics,9,79,711,Ahmedabad
2024-12-19,Notebook Pack,Stationery,9,12,108,Kolkata
2025-04-11,Notebook Pack,Stationery,4,12,48,Chennai
2025-08-08,Printer Ink,Stationery,4,45,180,Kolkata
2024-02-14,Notebook Pack,Stationery,8,12,96,Kolkata
2025-01-30,Office Chair,Furniture,8,349,2792,Mumbai
2024-05-09,Desk Lamp,Furniture,10,65,650,Pune
2024-04-12,Webcam HD,Electronics,2,79,158,Ahmedabad
2024-01-16,Office Chair,Furniture,7,349,2443,Bangalore
2024-03-17,Webcam HD,Electronics,5,79,395,Pune
2025-09-30,Printer Ink,Stationery,2,45,90,Pune
2025-11-21,Desk Lamp,Furniture,7,65,455,Pune
2025-10-03,Webcam HD,Electronics,9,79,711,Mumbai
2025-09-24,Wireless Mouse,Electronics,4,29,116,Hyderabad
2024-08-20,Wireless Mouse,Electronics,7,29,203,Delhi
2025-10-10,Wireless Mouse,Electronics,8,29,232,Bangalore
2025-12-11,LED Monitor,Electronics,1,449,449,Mumbai
2024-11-28,Laptop Pro,Electronics,5,899,4495,Pune
2025-01-18,Printer Ink,Stationery,3,45,135,Chennai
2025-06-27,Printer Ink,Stationery,10,45,450,Bangalore
2024-06-23,Office Chair,Furniture,2,349,698,Kolkata
2025-09-26,Standing Desk,Furniture,8,599,4792,Bangalore
2024-08-25,Webcam HD,Electronics,5,79,395,Ahmedabad
2024-09-18,Laptop Pro,Electronics,8,899,7192,Hyderabad
2025-11-24,Desk Lamp,Furniture,3,65,195,Delhi
2025-03-28,Notebook Pack,Stationery,10,12,120,Hyderabad
2025-10-16,Printer Ink,Stationery,5,45,225,Ahmedabad
2024-11-05,Standing Desk,Furniture,7,599,4193,Ahmedabad
2024-04-19,Standing Desk,Furniture,7,599,4193,Pune
2025-08-11,LED Monitor,Electronics,5,449,2245,Mumbai
2025-11-05,Printer Ink,Stationery,5,45,225,Mumbai
2025-08-02,Laptop Pro,Electronics,10,899,8990,Ahmedabad
2024-10-20,Standing Desk,Furniture,10,599,5990,Pune
2024-08-12,Standing Desk,Furniture,10,599,5990,Hyderabad
2025-11-25,Office Chair,Furniture,2,349,698,Mumbai
2024-11-12,Webcam HD,Electronics,1,79,79,Pune
2024-05-14,Wireless Mouse,Electronics,5,29,145,Pune
2025-03-01,Office Chair,Furniture,4,349,1396,Bangalore
2025-07-06,Notebook Pack,Stationery,9,12,108,Hyderabad
2024-06-17,LED Monitor,Electronics,8,449,3592,Hyderabad
2024-12-12,Wireless Mouse,Electronics,8,29,232,Delhi
2024-05-24,Standing Desk,Furniture,7,599,4193,Pune
2024-04-02,Printer Ink,Stationery,1,45,45,Hyderabad
2025-07-03,Wireless Mouse,Electronics,8,29,232,Pune
2025-11-19,LED Monitor,Electronics,10,449,4490,Kolkata
2025-10-15,Notebook Pack,Stationery,2,12,24,Chennai
2025-04-27,Laptop Pro,Electronics,10,899,8990,Pune
2025-09-16,Standing Desk,Furniture,2,599,1198,Ahmedabad
2025-12-18,LED Monitor,Electronics,7,449,3143,Delhi
2024-05-23,Laptop Pro,Electronics,1,899,899,Hyderabad
2025-05-19,Wireless Mouse,Electronics,2,29,58,Chennai
2025-07-04,Office Chair,Furniture,7,349,2443,Ahmedabad
2025-01-14,Desk Lamp,Furniture,7,65,455,Bangalore
2025-02-28,Wireless Mouse,Electronics,8,29,232,Kolkata
2024-10-13,Laptop Pro,Electronics,6,899,5394,Chennai
2025-03-30,Webcam HD,Electronics,4,79,316,Pune
2024-04-11,Notebook Pack,Stationery,9,12,108,Pune
2024-03-03,Printer Ink,Stationery,5,45,225,Chennai
2024-05-05,Webcam HD,Electronics,2,79,158,Chennai
2025-10-19,USB Hub,Electronics,1,35,35,Mumbai
2024-12-07,Standing Desk,Furniture,3,599,1797,Chennai
2024-03-11,Desk Lamp,Furniture,4,65,260,Chennai
2024-08-26,Notebook Pack,Stationery,3,12,36,Mumbai
2024-10-10,Office Chair,Furniture,3,349,1047,Hyderabad
2024-06-27,Wireless Mouse,Electronics,1,29,29,Bangalore
2024-01-16,Notebook Pack,Stationery,4,12,48,Pune
2024-01-17,Office Chair,Furniture,5,349,1745,Mumbai
2024-05-09,Printer Ink,Stationery,9,45,405,Delhi
2024-03-06,Webcam HD,Electronics,8,79,632,Pune
2025-06-09,USB Hub,Electronics,2,35,70,Ahmedabad
2025-05-30,Standing Desk,Furniture,10,599,5990,Mumbai
2025-11-05,Desk Lamp,Furniture,5,65,325,Ahmedabad
2025-10-20,Laptop Pro,Electronics,1,899,899,Ahmedabad
2025-02-15,Printer Ink,Stationery,2,45,90,Ahmedabad
2025-12-30,Webcam HD,Electronics,2,79,158,Delhi
2024-11-25,USB Hub,Electronics,3,35,105,Delhi
2024-05-09,LED Monitor,Electronics,10,449,4490,Pune
2025-01-25,USB Hub,Electronics,9,35,315,Hyderabad
2025-04-09,Desk Lamp,Furniture,10,65,650,Kolkata
2024-04-11,Wireless Mouse,Electronics,9,29,261,Chennai
2025-03-16,Webcam HD,Electronics,4,79,316,Kolkata
2024-12-13,Webcam HD,Electronics,7,79,553,Kolkata
2024-04-07,Notebook Pack,Stationery,7,12,84,Pune
2025-11-12,LED Monitor,Electronics,6,449,2694,Bangalore
2025-12-04,Webcam HD,Electronics,2,79,158,Delhi
2024-03-28,Wireless Mouse,Electronics,7,29,203,Delhi
2025-01-16,Office Chair,Furniture,9,349,3141,Mumbai
2025-08-23,Desk Lamp,Furniture,9,65,585,Pune
2025-11-17,Wireless Mouse,Electronics,7,29,203,Pune
2025-11-12,Printer Ink,Stationery,1,45,45,Hyderabad
2025-09-06,LED Monitor,Electronics,6,449,2694,Delhi
2025-08-14,Desk Lamp,Furniture,4,65,260,Bangalore
2025-11-03,Webcam HD,Electronics,4,79,316,Delhi
2024-12-24,Desk Lamp,Furniture,6,65,390,Delhi
2024-10-12,USB Hub,Electronics,4,35,140,Kolkata
2025-07-28,USB Hub,Electronics,10,35,350,Mumbai
2025-09-15,LED Monitor,Electronics,1,449,449,Bangalore
2024-10-06,LED Monitor,Electronics,6,449,2694,Pune
2024-01-07,Office Chair,Furniture,3,349,1047,Kolkata
2024-03-12,Office Chair,Furniture,1,349,349,Delhi
2025-06-27,Standing Desk,Furniture,7,599,4193,Kolkata
2025-04-09,Notebook Pack,Stationery,3,12,36,Pune
2024-11-15,Notebook Pack,Stationery,10,12,120,Delhi
2024-02-23,Office Chair,Furniture,3,349,1047,Mumbai
2025-11-21,Wireless Mouse,Electronics,5,29,145,Ahmedabad
2025-11-08,Printer Ink,Stationery,8,45,360,Ahmedabad
2025-02-28,LED Monitor,Electronics,4,449,1796,Delhi
2024-12-19,Printer Ink,Stationery,2,45,90,Hyderabad
2025-11-25,USB Hub,Electronics,8,35,280,Hyderabad
2024-02-16,Standing Desk,Furniture,7,599,4193,Mumbai
2024-01-08,Standing Desk,Furniture,5,599,2995,Chennai
2024-05-20,LED Monitor,Electronics,5,449,2245,Pune
2024-05-02,Laptop Pro,Electronics,8,899,7192,Kolkata
2024-06-28,Office Chair,Furniture,7,349,2443,Chennai
2025-05-27,Desk Lamp,Furniture,6,65,390,Delhi
2025-02-10,Laptop Pro,Electronics,7,899,6293,Mumbai
2025-04-15,Wireless Mouse,Electronics,6,29,174,Kolkata
2025-08-10,Printer Ink,Stationery,7,45,315,Hyderabad
2024-04-27,Printer Ink,Stationery,1,45,45,Pune
2024-06-24,USB Hub,Electronics,8,35,280,Pune
2024-03-31,Printer Ink,Stationery,2,45,90,Chennai
2025-03-22,USB Hub,Electronics,7,35,245,Delhi
2025-02-09,LED Monitor,Electronics,6,449,2694,Chennai
2024-12-07,Office Chair,Furniture,2,349,698,Delhi
2025-06-27,Desk Lamp,Furniture,4,65,260,Pune
2024-12-25,Office Chair,Furniture,4,349,1396,Delhi
2024-05-29,LED Monitor,Electronics,4,449,1796,Bangalore
2025-09-08,Office Chair,Furniture,2,349,698,Bangalore
2025-10-05,Webcam HD,Electronics,8,79,632,Ahmedabad
2025-11-28,USB Hub,Electronics,10,35,350,Pune
2025-10-04,Notebook Pack,Stationery,3,12,36,Ahmedabad
2024-03-10,Webcam HD,Electronics,8,79,632,Hyderabad
2024-10-08,USB Hub,Electronics,1,35,35,Pune
2025-06-03,Wireless Mouse,Electronics,5,29,145,Ahmedabad
2025-04-07,Laptop Pro,Electronics,1,899,899,Pune
2024-10-20,Wireless Mouse,Electronics,2,29,58,Kolkata
2025-04-18,USB Hub,Electronics,9,35,315,Mumbai
2025-04-05,USB Hub,Electronics,4,35,140,Pune
2025-09-11,Webcam HD,Electronics,9,79,711,Bangalore
2024-03-04,Webcam HD,Electronics,2,79,158,Pune
2024-03-27,Desk Lamp,Furniture,3,65,195,Mumbai
2024-09-10,Webcam HD,Electronics,8,79,632,Bangalore
2025-01-07,Notebook Pack,Stationery,5,12,60,Kolkata
2025-02-22,Notebook Pack,Stationery,10,12,120,Mumbai
2025-10-08,Notebook Pack,Stationery,2,12,24,Pune
2024-04-06,Desk Lamp,Furniture,7,65,455,Hyderabad
2024-09-15,USB Hub,Electronics,3,35,105,Pune
2024-03-24,USB Hub,Electronics,3,35,105,Pune
2024-11-13,Printer Ink,Stationery,3,45,135,Delhi
2024-11-13,Desk Lamp,Furniture,7,65,455,Pune
2024-05-10,Desk Lamp,Furniture,2,65,130,Kolkata
2025-06-04,Notebook Pack,Stationery,1,12,12,Pune
2024-11-12,Office Chair,Furniture,4,349,1396,Pune
2025-05-12,Standing Desk,Furniture,4,599,2396,Bangalore
2024-06-07,Wireless Mouse,Electronics,5,29,145,Delhi
2025-06-03,Desk Lamp,Furniture,9,65,585,Mumbai
2025-11-08,Notebook Pack,Stationery,10,12,120,Bangalore
2025-09-03,Printer Ink,Stationery,3,45,135,Bangalore
2024-07-04,USB Hub,Electronics,3,35,105,Ahmedabad
2024-02-14,Printer Ink,Stationery,6,45,270,Chennai
2025-03-30,USB Hub,Electronics,5,35,175,Ahmedabad
2024-08-27,Desk Lamp,Furniture,4,65,260,Hyderabad
2025-04-25,Standing Desk,Furniture,6,599,3594,Ahmedabad
2025-04-17,LED Monitor,Electronics,7,449,3143,Kolkata
2024-06-14,Standing Desk,Furniture,10,599,5990,Bangalore
2024-09-13,Laptop Pro,Electronics,8,899,7192,Pune
2025-07-21,Wireless Mouse,Electronics,9,29,261,Delhi
2024-10-18,Wireless Mouse,Electronics,3,29,87,Hyderabad
2025-04-05,Desk Lamp,Furniture,3,65,195,Kolkata
2024-04-03,Standing Desk,Furniture,8,599,4792,Pune
2024-01-28,Printer Ink,Stationery,1,45,45,Kolkata
2025-05-29,Notebook Pack,Stationery,4,12,48,Kolkata
2024-03-24,Notebook Pack,Stationery,4,12,48,Mumbai
2024-11-22,Wireless Mouse,Electronics,6,29,174,Bangalore
2024-05-20,Laptop Pro,Electronics,5,899,4495,Ahmedabad
2025-12-13,Office Chair,Furniture,8,349,2792,Ahmedabad
2025-09-22,Laptop Pro,Electronics,2,899,1798,Mumbai
2024-09-19,Standing Desk,Furniture,3,599,1797,Kolkata
2024-04-23,LED Monitor,Electronics,4,449,1796,Hyderabad
2024-05-04,Laptop Pro,Electronics,4,899,3596,Kolkata
2025-10-16,USB Hub,Electronics,8,35,280,Delhi
2024-04-23,Webcam HD,Electronics,10,79,790,Mumbai
2025-10-09,Desk Lamp,Furniture,10,65,650,Chennai
2024-05-27,LED Monitor,Electronics,7,449,3143,Mumbai
2025-09-21,Notebook Pack,Stationery,4,12,48,Kolkata
2024-07-10,Wireless Mouse,Electronics,9,29,261,Pune
2024-03-10,Desk Lamp,Furniture,9,65,585,Mumbai
2025-02-03,Webcam HD,Electronics,1,79,79,Kolkata
2025-01-17,LED Monitor,Electronics,1,449,449,Pune
2024-03-10,Notebook Pack,Stationery,4,12,48,Delhi
2025-08-18,Notebook Pack,Stationery,3,12,36,Mumbai
2024-12-26,Desk Lamp,Furniture,6,65,390,Bangalore
2025-12-02,Webcam HD,Electronics,8,79,632,Bangalore
2024-05-18,Wireless Mouse,Electronics,8,29,232,Mumbai
2024-10-27,Standing Desk,Furniture,1,599,599,Chennai
2024-02-12,Notebook Pack,Stationery,5,12,60,Kolkata
2025-07-10,Webcam HD,Electronics,5,79,395,Mumbai
2025-10-24,Standing Desk,Furniture,5,599,2995,Pune
2024-02-18,Notebook Pack,Stationery,5,12,60,Delhi
2025-01-11,Printer Ink,Stationery,7,45,315,Ahmedabad
2025-01-30,Notebook Pack,Stationery,3,12,36,Ahmedabad
2025-12-09,Webcam HD,Electronics,6,79,474,Hyderabad
2024-03-25,Printer Ink,Stationery,2,45,90,Kolkata
2025-09-08,Office Chair,Furniture,9,349,3141,Hyderabad
2024-11-24,Wireless Mouse,Electronics,2,29,58,Pune
2025-11-07,LED Monitor,Electronics,5,449,2245,Ahmedabad
2025-09-09,Printer Ink,Stationery,3,45,135,Ahmedabad
2024-12-25,Webcam HD,Electronics,1,79,79,Pune
2025-09-21,Printer Ink,Stationery,5,45,225,Mumbai
2024-03-17,Printer Ink,Stationery,6,45,270,Bangalore
2024-02-01,Office Chair,Furniture,10,349,3490,Ahmedabad
2024-02-05,Office Chair,Furniture,2,349,698,Chennai
2025-10-22,Notebook Pack,Stationery,6,12,72,Kolkata
2025-08-03,Laptop Pro,Electronics,10,899,8990,Bangalore
2025-11-26,Webcam HD,Electronics,6,79,474,Pune
2025-03-30,Wireless Mouse,Electronics,10,29,290,Bangalore
2025-06-26,Notebook Pack,Stationery,7,12,84,Pune
2025-10-27,LED Monitor,Electronics,4,449,1796,Delhi
2024-01-27,Office Chair,Furniture,8,349,2792,Kolkata
2025-07-29,Wireless Mouse,Electronics,5,29,145,Hyderabad
2025-12-21,Webcam HD,Electronics,4,79,316,Hyderabad
2025-12-11,Webcam HD,Electronics,4,79,316,Delhi
2024-05-18,Wireless Mouse,Electronics,8,29,232,Bangalore
2025-03-31,Wireless Mouse,Electronics,6,29,174,Pune
2025-12-27,Wireless Mouse,Electronics,9,29,261,Hyderabad
2024-11-03,Office Chair,Furniture,3,349,1047,Pune
2025-06-04,Standing Desk,Furniture,2,599,1198,Chennai
2024-05-22,Standing Desk,Furniture,8,599,4792,Mumbai
2025-01-04,Desk Lamp,Furniture,10,65,650,Pune
2025-04-23,Desk Lamp,Furniture,3,65,195,Delhi
2024-03-08,LED Monitor,Electronics,7,449,3143,Ahmedabad
2025-06-22,Printer Ink,Stationery,7,45,315,Delhi
2024-05-08,Notebook Pack,Stationery,2,12,24,Ahmedabad
2025-04-22,Desk Lamp,Furniture,6,65,390,Bangalore
2025-07-18,USB Hub,Electronics,3,35,105,Bangalore
2025-03-19,Desk Lamp,Furniture,1,65,65,Delhi
2025-06-14,Office Chair,Furniture,5,349,1745,Bangalore
2024-06-14,Notebook Pack,Stationery,4,12,48,Pune
2025-06-15,LED Monitor,Electronics,2,449,898,Hyderabad
2024-07-20,Desk Lamp,Furniture,5,65,325,Bangalore
2025-10-02,LED Monitor,Electronics,10,449,4490,Delhi
2025-05-29,Office Chair,Furniture,10,349,3490,Bangalore
2024-06-24,USB Hub,Electronics,10,35,350,Pune
2025-07-31,Laptop Pro,Electronics,1,899,899,Delhi
